,Item to Item,Duration
573,"('Brownie Mix', 'Waffles')",20.0
574,"('Brownie Mix', 'Taquitos')",16.0
575,"('Brownie Mix', ""Breyer's Ice Cream"")",15.0
576,"('Brownie Mix', 'Lasagna')",17.0
577,"('Brownie Mix', 'Bagel Bites')",18.0
578,"('Brownie Mix', 'Pizza (12"")')",19.0
579,"('Brownie Mix', 'End Node')",3.5
580,"('Seasoning', 'Start Node')",2.0
581,"('Seasoning', 'Coffee Beans')",3.5
582,"('Seasoning', 'K-Cups')",5.5
583,"('Seasoning', 'Capt. Crunch')",8.5
584,"('Seasoning', 'Chewy Bars')",11.0
585,"('Seasoning', 'Granola')",12.0
586,"('Seasoning', ""Hershey's"")",7.5
587,"('Seasoning', 'Flour')",5.5
588,"('Seasoning', 'Syrup')",4.5
589,"('Seasoning', 'Brownie Mix')",1.5
590,"('Seasoning', 'Seasoning')",0.0
591,"('Seasoning', 'Soup')",4.5
592,"('Seasoning', 'Mac & Cheese')",6.5
593,"('Seasoning', 'Ketchup')",9.5
594,"('Seasoning', 'Pickles')",10.0
595,"('Seasoning', 'Italian Dressing')",10.5
596,"('Seasoning', 'Soy Sauce')",12.5
597,"('Seasoning', 'Penne')",12.0
598,"('Seasoning', 'CapriSun')",11.5
599,"('Seasoning', 'Tortillas')",7.5
600,"('Seasoning', 'Tomato Sauce')",4.5
601,"('Seasoning', 'Ibuprofen')",6.0
602,"('Seasoning', 'Diapers')",7.5
603,"('Seasoning', 'Tootpaste')",13.5
604,"('Seasoning', 'Tampons')",12.5
605,"('Seasoning', 'Shampoo')",14.0
606,"('Seasoning', 'Toilet Paper')",6.5
607,"('Seasoning', 'Paper Towels')",7.5
608,"('Seasoning', 'Napkins')",9.5
609,"('Seasoning', 'Solo Cups')",11.5
610,"('Seasoning', 'Trash Bags')",14.5
611,"('Seasoning', 'Dish Soap')",7.5
612,"('Seasoning', 'Detergent')",8.0
613,"('Seasoning', 'Broom')",9.5
614,"('Seasoning', 'Dog Treats')",12.5
615,"('Seasoning', 'Air Freshner')",13.5
616,"('Seasoning', 'Oreos')",15.5
617,"('Seasoning', 'Popcorn')",12.5
618,"('Seasoning', 'Gatorade (12)')",10.5
619,"('Seasoning', 'Redbull (4)')",10.0
620,"('Seasoning', 'Ritz')",8.5
621,"('Seasoning', 'Coca Cola (12)')",9.5
622,"('Seasoning', 'LaCroix (12)')",10.5
623,"('Seasoning', 'Pepsi (12)')",10.0
624,"('Seasoning', 'Seltzer (6)')",16.5
625,"('Seasoning', 'Bottled Water (24)')",18.0
626,"('Seasoning', 'Milk Gallon')",10.5
627,"('Seasoning', 'Butter Sticks')",13.5
628,"('Seasoning', 'Cookie Dough')",14.0
629,"('Seasoning', 'Chobani (4)')",15.5
630,"('Seasoning', 'Eggs (12)')",18.5
631,"('Seasoning', 'Waffles')",18.5
632,"('Seasoning', 'Taquitos')",14.5
633,"('Seasoning', ""Breyer's Ice Cream"")",13.5
634,"('Seasoning', 'Lasagna')",15.5
635,"('Seasoning', 'Bagel Bites')",16.5
636,"('Seasoning', 'Pizza (12"")')",19.5
637,"('Seasoning', 'End Node')",2.0
638,"('Soup', 'Start Node')",4.5
639,"('Soup', 'Coffee Beans')",6.0
640,"('Soup', 'K-Cups')",8.0
641,"('Soup', 'Capt. Crunch')",11.0
642,"('Soup', 'Chewy Bars')",12.5
643,"('Soup', 'Granola')",11.5
644,"('Soup', ""Hershey's"")",12.0
645,"('Soup', 'Flour')",10.0
646,"('Soup', 'Syrup')",9.0
647,"('Soup', 'Brownie Mix')",6.0
648,"('Soup', 'Seasoning')",4.5
649,"('Soup', 'Soup')",0.0
650,"('Soup', 'Mac & Cheese')",2.0
651,"('Soup', 'Ketchup')",5.0
652,"('Soup', 'Pickles')",5.5
653,"('Soup', 'Italian Dressing')",6.0
654,"('Soup', 'Soy Sauce')",11.0
655,"('Soup', 'Penne')",11.5
656,"('Soup', 'CapriSun')",12.0
657,"('Soup', 'Tortillas')",8.0
658,"('Soup', 'Tomato Sauce')",5.0
659,"('Soup', 'Ibuprofen')",6.5
660,"('Soup', 'Diapers')",8.0
661,"('Soup', 'Tootpaste')",12.0
662,"('Soup', 'Tampons')",13.0
663,"('Soup', 'Shampoo')",11.5
664,"('Soup', 'Toilet Paper')",7.0
665,"('Soup', 'Paper Towels')",8.0
666,"('Soup', 'Napkins')",10.0
667,"('Soup', 'Solo Cups')",12.0
668,"('Soup', 'Trash Bags')",13.0
669,"('Soup', 'Dish Soap')",8.0
670,"('Soup', 'Detergent')",8.5
671,"('Soup', 'Broom')",10.0
672,"('Soup', 'Dog Treats')",13.0
673,"('Soup', 'Air Freshner')",14.0
674,"('Soup', 'Oreos')",16.0
675,"('Soup', 'Popcorn')",13.0
676,"('Soup', 'Gatorade (12)')",11.0
677,"('Soup', 'Redbull (4)')",10.5
678,"('Soup', 'Ritz')",9.0
679,"('Soup', 'Coca Cola (12)')",10.0
680,"('Soup', 'LaCroix (12)')",11.0
681,"('Soup', 'Pepsi (12)')",10.5
682,"('Soup', 'Seltzer (6)')",17.0
683,"('Soup', 'Bottled Water (24)')",15.5
684,"('Soup', 'Milk Gallon')",11.0
685,"('Soup', 'Butter Sticks')",14.0
686,"('Soup', 'Cookie Dough')",14.5
687,"('Soup', 'Chobani (4)')",16.0
688,"('Soup', 'Eggs (12)')",17.0
689,"('Soup', 'Waffles')",19.0
690,"('Soup', 'Taquitos')",15.0
691,"('Soup', ""Breyer's Ice Cream"")",14.0
692,"('Soup', 'Lasagna')",16.0
693,"('Soup', 'Bagel Bites')",17.0
694,"('Soup', 'Pizza (12"")')",18.0
695,"('Soup', 'End Node')",4.5
696,"('Mac & Cheese', 'Start Node')",6.5
697,"('Mac & Cheese', 'Coffee Beans')",8.0
698,"('Mac & Cheese', 'K-Cups')",10.0
699,"('Mac & Cheese', 'Capt. Crunch')",13.0
700,"('Mac & Cheese', 'Chewy Bars')",10.5
701,"('Mac & Cheese', 'Granola')",9.5
702,"('Mac & Cheese', ""Hershey's"")",10.0
703,"('Mac & Cheese', 'Flour')",12.0
704,"('Mac & Cheese', 'Syrup')",11.0
705,"('Mac & Cheese', 'Brownie Mix')",8.0
706,"('Mac & Cheese', 'Seasoning')",6.5
707,"('Mac & Cheese', 'Soup')",2.0
708,"('Mac & Cheese', 'Mac & Cheese')",0.0
709,"('Mac & Cheese', 'Ketchup')",3.0
710,"('Mac & Cheese', 'Pickles')",3.5
711,"('Mac & Cheese', 'Italian Dressing')",4.0
712,"('Mac & Cheese', 'Soy Sauce')",9.0
713,"('Mac & Cheese', 'Penne')",9.5
714,"('Mac & Cheese', 'CapriSun')",10.0
715,"('Mac & Cheese', 'Tortillas')",10.0
716,"('Mac & Cheese', 'Tomato Sauce')",7.0
717,"('Mac & Cheese', 'Ibuprofen')",8.5
718,"('Mac & Cheese', 'Diapers')",10.0
719,"('Mac & Cheese', 'Tootpaste')",10.0
720,"('Mac & Cheese', 'Tampons')",11.0
721,"('Mac & Cheese', 'Shampoo')",9.5
722,"('Mac & Cheese', 'Toilet Paper')",9.0
723,"('Mac & Cheese', 'Paper Towels')",10.0
724,"('Mac & Cheese', 'Napkins')",12.0
725,"('Mac & Cheese', 'Solo Cups')",14.0
726,"('Mac & Cheese', 'Trash Bags')",11.0
727,"('Mac & Cheese', 'Dish Soap')",10.0
728,"('Mac & Cheese', 'Detergent')",10.5
729,"('Mac & Cheese', 'Broom')",12.0
730,"('Mac & Cheese', 'Dog Treats')",15.0
731,"('Mac & Cheese', 'Air Freshner')",14.0
732,"('Mac & Cheese', 'Oreos')",14.0
733,"('Mac & Cheese', 'Popcorn')",15.0
734,"('Mac & Cheese', 'Gatorade (12)')",13.0
735,"('Mac & Cheese', 'Redbull (4)')",12.5
736,"('Mac & Cheese', 'Ritz')",11.0
737,"('Mac & Cheese', 'Coca Cola (12)')",12.0
738,"('Mac & Cheese', 'LaCroix (12)')",13.0
739,"('Mac & Cheese', 'Pepsi (12)')",12.5
740,"('Mac & Cheese', 'Seltzer (6)')",15.0
741,"('Mac & Cheese', 'Bottled Water (24)')",13.5
742,"('Mac & Cheese', 'Milk Gallon')",13.0
743,"('Mac & Cheese', 'Butter Sticks')",16.0
744,"('Mac & Cheese', 'Cookie Dough')",16.5
745,"('Mac & Cheese', 'Chobani (4)')",18.0
746,"('Mac & Cheese', 'Eggs (12)')",15.0
747,"('Mac & Cheese', 'Waffles')",17.0
748,"('Mac & Cheese', 'Taquitos')",17.0
749,"('Mac & Cheese', ""Breyer's Ice Cream"")",16.0
750,"('Mac & Cheese', 'Lasagna')",18.0
751,"('Mac & Cheese', 'Bagel Bites')",19.0
752,"('Mac & Cheese', 'Pizza (12"")')",16.0
753,"('Mac & Cheese', 'End Node')",6.5
754,"('Ketchup', 'Start Node')",9.5
755,"('Ketchup', 'Coffee Beans')",11.0
756,"('Ketchup', 'K-Cups')",13.0
757,"('Ketchup', 'Capt. Crunch')",10.0
758,"('Ketchup', 'Chewy Bars')",7.5
759,"('Ketchup', 'Granola')",6.5
760,"('Ketchup', ""Hershey's"")",7.0
761,"('Ketchup', 'Flour')",9.0
762,"('Ketchup', 'Syrup')",10.0
763,"('Ketchup', 'Brownie Mix')",11.0
764,"('Ketchup', 'Seasoning')",9.5
765,"('Ketchup', 'Soup')",5.0
766,"('Ketchup', 'Mac & Cheese')",3.0
767,"('Ketchup', 'Ketchup')",0.0
768,"('Ketchup', 'Pickles')",0.5
769,"('Ketchup', 'Italian Dressing')",1.0
770,"('Ketchup', 'Soy Sauce')",6.0
771,"('Ketchup', 'Penne')",6.5
772,"('Ketchup', 'CapriSun')",7.0
773,"('Ketchup', 'Tortillas')",11.0
774,"('Ketchup', 'Tomato Sauce')",10.0
775,"('Ketchup', 'Ibuprofen')",11.5
776,"('Ketchup', 'Diapers')",13.0
777,"('Ketchup', 'Tootpaste')",7.0
778,"('Ketchup', 'Tampons')",8.0
779,"('Ketchup', 'Shampoo')",6.5
780,"('Ketchup', 'Toilet Paper')",12.0
781,"('Ketchup', 'Paper Towels')",13.0
782,"('Ketchup', 'Napkins')",13.0
783,"('Ketchup', 'Solo Cups')",11.0
784,"('Ketchup', 'Trash Bags')",8.0
785,"('Ketchup', 'Dish Soap')",13.0
786,"('Ketchup', 'Detergent')",13.5
787,"('Ketchup', 'Broom')",15.0
788,"('Ketchup', 'Dog Treats')",12.0
789,"('Ketchup', 'Air Freshner')",11.0
790,"('Ketchup', 'Oreos')",11.0
791,"('Ketchup', 'Popcorn')",14.0
792,"('Ketchup', 'Gatorade (12)')",16.0
793,"('Ketchup', 'Redbull (4)')",15.5
794,"('Ketchup', 'Ritz')",14.0
795,"('Ketchup', 'Coca Cola (12)')",15.0
796,"('Ketchup', 'LaCroix (12)')",16.0
797,"('Ketchup', 'Pepsi (12)')",15.5
798,"('Ketchup', 'Seltzer (6)')",12.0
799,"('Ketchup', 'Bottled Water (24)')",10.5
800,"('Ketchup', 'Milk Gallon')",16.0
801,"('Ketchup', 'Butter Sticks')",17.0
802,"('Ketchup', 'Cookie Dough')",16.5
803,"('Ketchup', 'Chobani (4)')",15.0
804,"('Ketchup', 'Eggs (12)')",12.0
805,"('Ketchup', 'Waffles')",14.0
806,"('Ketchup', 'Taquitos')",18.0
807,"('Ketchup', ""Breyer's Ice Cream"")",19.0
808,"('Ketchup', 'Lasagna')",17.0
809,"('Ketchup', 'Bagel Bites')",16.0
810,"('Ketchup', 'Pizza (12"")')",13.0
811,"('Ketchup', 'End Node')",9.5
812,"('Pickles', 'Start Node')",10.0
813,"('Pickles', 'Coffee Beans')",11.5
814,"('Pickles', 'K-Cups')",12.5
815,"('Pickles', 'Capt. Crunch')",9.5
816,"('Pickles', 'Chewy Bars')",7.0
817,"('Pickles', 'Granola')",6.0
818,"('Pickles', ""Hershey's"")",6.5
819,"('Pickles', 'Flour')",8.5
820,"('Pickles', 'Syrup')",9.5
821,"('Pickles', 'Brownie Mix')",11.5
822,"('Pickles', 'Seasoning')",10.0
823,"('Pickles', 'Soup')",5.5
824,"('Pickles', 'Mac & Cheese')",3.5
825,"('Pickles', 'Ketchup')",0.5
826,"('Pickles', 'Pickles')",0.0
827,"('Pickles', 'Italian Dressing')",0.5
828,"('Pickles', 'Soy Sauce')",5.5
829,"('Pickles', 'Penne')",6.0
830,"('Pickles', 'CapriSun')",6.5
831,"('Pickles', 'Tortillas')",10.5
832,"('Pickles', 'Tomato Sauce')",10.5
833,"('Pickles', 'Ibuprofen')",12.0
834,"('Pickles', 'Diapers')",12.5
835,"('Pickles', 'Tootpaste')",6.5
836,"('Pickles', 'Tampons')",7.5
837,"('Pickles', 'Shampoo')",6.0
838,"('Pickles', 'Toilet Paper')",12.5
839,"('Pickles', 'Paper Towels')",13.5
840,"('Pickles', 'Napkins')",12.5
841,"('Pickles', 'Solo Cups')",10.5
842,"('Pickles', 'Trash Bags')",7.5
843,"('Pickles', 'Dish Soap')",13.5
844,"('Pickles', 'Detergent')",14.0
845,"('Pickles', 'Broom')",14.5
846,"('Pickles', 'Dog Treats')",11.5
847,"('Pickles', 'Air Freshner')",10.5
848,"('Pickles', 'Oreos')",10.5
849,"('Pickles', 'Popcorn')",13.5
850,"('Pickles', 'Gatorade (12)')",15.5
851,"('Pickles', 'Redbull (4)')",16.0
852,"('Pickles', 'Ritz')",14.5
853,"('Pickles', 'Coca Cola (12)')",15.5
854,"('Pickles', 'LaCroix (12)')",16.5
855,"('Pickles', 'Pepsi (12)')",16.0
856,"('Pickles', 'Seltzer (6)')",11.5
857,"('Pickles', 'Bottled Water (24)')",10.0
858,"('Pickles', 'Milk Gallon')",16.5
859,"('Pickles', 'Butter Sticks')",16.5
860,"('Pickles', 'Cookie Dough')",16.0
861,"('Pickles', 'Chobani (4)')",14.5
862,"('Pickles', 'Eggs (12)')",11.5
863,"('Pickles', 'Waffles')",13.5
864,"('Pickles', 'Taquitos')",17.5
865,"('Pickles', ""Breyer's Ice Cream"")",18.5
866,"('Pickles', 'Lasagna')",16.5
867,"('Pickles', 'Bagel Bites')",15.5
868,"('Pickles', 'Pizza (12"")')",12.5
869,"('Pickles', 'End Node')",10.0
870,"('Italian Dressing', 'Start Node')",10.5
871,"('Italian Dressing', 'Coffee Beans')",12.0
872,"('Italian Dressing', 'K-Cups')",12.0
873,"('Italian Dressing', 'Capt. Crunch')",9.0
874,"('Italian Dressing', 'Chewy Bars')",6.5
875,"('Italian Dressing', 'Granola')",5.5
876,"('Italian Dressing', ""Hershey's"")",6.0
877,"('Italian Dressing', 'Flour')",8.0
878,"('Italian Dressing', 'Syrup')",9.0
879,"('Italian Dressing', 'Brownie Mix')",12.0
880,"('Italian Dressing', 'Seasoning')",10.5
881,"('Italian Dressing', 'Soup')",6.0
882,"('Italian Dressing', 'Mac & Cheese')",4.0
883,"('Italian Dressing', 'Ketchup')",1.0
884,"('Italian Dressing', 'Pickles')",0.5
885,"('Italian Dressing', 'Italian Dressing')",0.0
886,"('Italian Dressing', 'Soy Sauce')",5.0
887,"('Italian Dressing', 'Penne')",5.5
888,"('Italian Dressing', 'CapriSun')",6.0
889,"('Italian Dressing', 'Tortillas')",10.0
890,"('Italian Dressing', 'Tomato Sauce')",11.0
891,"('Italian Dressing', 'Ibuprofen')",12.5
892,"('Italian Dressing', 'Diapers')",12.0
893,"('Italian Dressing', 'Tootpaste')",6.0
894,"('Italian Dressing', 'Tampons')",7.0
895,"('Italian Dressing', 'Shampoo')",5.5
896,"('Italian Dressing', 'Toilet Paper')",13.0
897,"('Italian Dressing', 'Paper Towels')",14.0
898,"('Italian Dressing', 'Napkins')",12.0
899,"('Italian Dressing', 'Solo Cups')",10.0
900,"('Italian Dressing', 'Trash Bags')",7.0
901,"('Italian Dressing', 'Dish Soap')",14.0
902,"('Italian Dressing', 'Detergent')",14.5
903,"('Italian Dressing', 'Broom')",14.0
904,"('Italian Dressing', 'Dog Treats')",11.0
905,"('Italian Dressing', 'Air Freshner')",10.0
906,"('Italian Dressing', 'Oreos')",10.0
907,"('Italian Dressing', 'Popcorn')",13.0
908,"('Italian Dressing', 'Gatorade (12)')",15.0
909,"('Italian Dressing', 'Redbull (4)')",15.5
910,"('Italian Dressing', 'Ritz')",15.0
911,"('Italian Dressing', 'Coca Cola (12)')",16.0
912,"('Italian Dressing', 'LaCroix (12)')",17.0
913,"('Italian Dressing', 'Pepsi (12)')",16.5
914,"('Italian Dressing', 'Seltzer (6)')",11.0
915,"('Italian Dressing', 'Bottled Water (24)')",9.5
916,"('Italian Dressing', 'Milk Gallon')",17.0
917,"('Italian Dressing', 'Butter Sticks')",16.0
918,"('Italian Dressing', 'Cookie Dough')",15.5
919,"('Italian Dressing', 'Chobani (4)')",14.0
920,"('Italian Dressing', 'Eggs (12)')",11.0
921,"('Italian Dressing', 'Waffles')",13.0
922,"('Italian Dressing', 'Taquitos')",17.0
923,"('Italian Dressing', ""Breyer's Ice Cream"")",18.0
924,"('Italian Dressing', 'Lasagna')",16.0
925,"('Italian Dressing', 'Bagel Bites')",15.0
926,"('Italian Dressing', 'Pizza (12"")')",12.0
927,"('Italian Dressing', 'End Node')",10.5
928,"('Soy Sauce', 'Start Node')",12.5
929,"('Soy Sauce', 'Coffee Beans')",14.0
930,"('Soy Sauce', 'K-Cups')",12.0
931,"('Soy Sauce', 'Capt. Crunch')",9.0
932,"('Soy Sauce', 'Chewy Bars')",6.5
933,"('Soy Sauce', 'Granola')",5.5
934,"('Soy Sauce', ""Hershey's"")",6.0
935,"('Soy Sauce', 'Flour')",8.0
936,"('Soy Sauce', 'Syrup')",9.0
937,"('Soy Sauce', 'Brownie Mix')",12.0
938,"('Soy Sauce', 'Seasoning')",12.5
939,"('Soy Sauce', 'Soup')",11.0
940,"('Soy Sauce', 'Mac & Cheese')",9.0
941,"('Soy Sauce', 'Ketchup')",6.0
942,"('Soy Sauce', 'Pickles')",5.5
943,"('Soy Sauce', 'Italian Dressing')",5.0
944,"('Soy Sauce', 'Soy Sauce')",0.0
945,"('Soy Sauce', 'Penne')",0.5
946,"('Soy Sauce', 'CapriSun')",1.0
947,"('Soy Sauce', 'Tortillas')",5.0
948,"('Soy Sauce', 'Tomato Sauce')",8.0
949,"('Soy Sauce', 'Ibuprofen')",11.5
950,"('Soy Sauce', 'Diapers')",10.0
951,"('Soy Sauce', 'Tootpaste')",4.0
952,"('Soy Sauce', 'Tampons')",5.0
953,"('Soy Sauce', 'Shampoo')",3.5
954,"('Soy Sauce', 'Toilet Paper')",13.0
955,"('Soy Sauce', 'Paper Towels')",12.0
956,"('Soy Sauce', 'Napkins')",10.0
957,"('Soy Sauce', 'Solo Cups')",8.0
958,"('Soy Sauce', 'Trash Bags')",5.0
959,"('Soy Sauce', 'Dish Soap')",14.0
960,"('Soy Sauce', 'Detergent')",13.5
961,"('Soy Sauce', 'Broom')",12.0
962,"('Soy Sauce', 'Dog Treats')",9.0
963,"('Soy Sauce', 'Air Freshner')",8.0
964,"('Soy Sauce', 'Oreos')",8.0
965,"('Soy Sauce', 'Popcorn')",11.0
966,"('Soy Sauce', 'Gatorade (12)')",13.0
967,"('Soy Sauce', 'Redbull (4)')",13.5
968,"('Soy Sauce', 'Ritz')",15.0
969,"('Soy Sauce', 'Coca Cola (12)')",16.0
970,"('Soy Sauce', 'LaCroix (12)')",15.0
971,"('Soy Sauce', 'Pepsi (12)')",15.5
972,"('Soy Sauce', 'Seltzer (6)')",9.0
973,"('Soy Sauce', 'Bottled Water (24)')",7.5
974,"('Soy Sauce', 'Milk Gallon')",17.0
975,"('Soy Sauce', 'Butter Sticks')",14.0
976,"('Soy Sauce', 'Cookie Dough')",13.5
977,"('Soy Sauce', 'Chobani (4)')",12.0
978,"('Soy Sauce', 'Eggs (12)')",9.0
979,"('Soy Sauce', 'Waffles')",11.0
980,"('Soy Sauce', 'Taquitos')",15.0
981,"('Soy Sauce', ""Breyer's Ice Cream"")",16.0
982,"('Soy Sauce', 'Lasagna')",14.0
983,"('Soy Sauce', 'Bagel Bites')",13.0
984,"('Soy Sauce', 'Pizza (12"")')",10.0
985,"('Soy Sauce', 'End Node')",12.5
986,"('Penne', 'Start Node')",12.0
987,"('Penne', 'Coffee Beans')",13.5
988,"('Penne', 'K-Cups')",12.5
989,"('Penne', 'Capt. Crunch')",9.5
990,"('Penne', 'Chewy Bars')",7.0
991,"('Penne', 'Granola')",6.0
992,"('Penne', ""Hershey's"")",6.5
993,"('Penne', 'Flour')",8.5
994,"('Penne', 'Syrup')",9.5
995,"('Penne', 'Brownie Mix')",12.5
996,"('Penne', 'Seasoning')",12.0
997,"('Penne', 'Soup')",11.5
998,"('Penne', 'Mac & Cheese')",9.5
999,"('Penne', 'Ketchup')",6.5
1000,"('Penne', 'Pickles')",6.0
1001,"('Penne', 'Italian Dressing')",5.5
1002,"('Penne', 'Soy Sauce')",0.5
1003,"('Penne', 'Penne')",0.0
1004,"('Penne', 'CapriSun')",0.5
1005,"('Penne', 'Tortillas')",4.5
1006,"('Penne', 'Tomato Sauce')",7.5
1007,"('Penne', 'Ibuprofen')",12.0
1008,"('Penne', 'Diapers')",10.5
1009,"('Penne', 'Tootpaste')",4.5
1010,"('Penne', 'Tampons')",5.5
1011,"('Penne', 'Shampoo')",4.0
1012,"('Penne', 'Toilet Paper')",12.5
1013,"('Penne', 'Paper Towels')",12.5
1014,"('Penne', 'Napkins')",10.5
1015,"('Penne', 'Solo Cups')",8.5
1016,"('Penne', 'Trash Bags')",5.5
1017,"('Penne', 'Dish Soap')",13.5
1018,"('Penne', 'Detergent')",14.0
1019,"('Penne', 'Broom')",12.5
1020,"('Penne', 'Dog Treats')",9.5
1021,"('Penne', 'Air Freshner')",8.5
1022,"('Penne', 'Oreos')",8.5
1023,"('Penne', 'Popcorn')",11.5
1024,"('Penne', 'Gatorade (12)')",13.5
1025,"('Penne', 'Redbull (4)')",14.0
1026,"('Penne', 'Ritz')",14.5
1027,"('Penne', 'Coca Cola (12)')",15.5
1028,"('Penne', 'LaCroix (12)')",15.5
1029,"('Penne', 'Pepsi (12)')",16.0
1030,"('Penne', 'Seltzer (6)')",9.5
1031,"('Penne', 'Bottled Water (24)')",8.0
1032,"('Penne', 'Milk Gallon')",16.5
1033,"('Penne', 'Butter Sticks')",14.5
1034,"('Penne', 'Cookie Dough')",14.0
1035,"('Penne', 'Chobani (4)')",12.5
1036,"('Penne', 'Eggs (12)')",9.5
1037,"('Penne', 'Waffles')",11.5
1038,"('Penne', 'Taquitos')",15.5
1039,"('Penne', ""Breyer's Ice Cream"")",16.5
1040,"('Penne', 'Lasagna')",14.5
1041,"('Penne', 'Bagel Bites')",13.5
1042,"('Penne', 'Pizza (12"")')",10.5
1043,"('Penne', 'End Node')",12.0
1044,"('CapriSun', 'Start Node')",11.5
1045,"('CapriSun', 'Coffee Beans')",13.0
1046,"('CapriSun', 'K-Cups')",13.0
1047,"('CapriSun', 'Capt. Crunch')",10.0
1048,"('CapriSun', 'Chewy Bars')",7.5
1049,"('CapriSun', 'Granola')",6.5
1050,"('CapriSun', ""Hershey's"")",7.0
1051,"('CapriSun', 'Flour')",9.0
1052,"('CapriSun', 'Syrup')",10.0
1053,"('CapriSun', 'Brownie Mix')",13.0
1054,"('CapriSun', 'Seasoning')",11.5
1055,"('CapriSun', 'Soup')",12.0
1056,"('CapriSun', 'Mac & Cheese')",10.0
1057,"('CapriSun', 'Ketchup')",7.0
1058,"('CapriSun', 'Pickles')",6.5
1059,"('CapriSun', 'Italian Dressing')",6.0
1060,"('CapriSun', 'Soy Sauce')",1.0
1061,"('CapriSun', 'Penne')",0.5
1062,"('CapriSun', 'CapriSun')",0.0
1063,"('CapriSun', 'Tortillas')",4.0
1064,"('CapriSun', 'Tomato Sauce')",7.0
1065,"('CapriSun', 'Ibuprofen')",11.5
1066,"('CapriSun', 'Diapers')",11.0
1067,"('CapriSun', 'Tootpaste')",5.0
1068,"('CapriSun', 'Tampons')",6.0
1069,"('CapriSun', 'Shampoo')",4.5
1070,"('CapriSun', 'Toilet Paper')",12.0
1071,"('CapriSun', 'Paper Towels')",13.0
1072,"('CapriSun', 'Napkins')",11.0
1073,"('CapriSun', 'Solo Cups')",9.0
1074,"('CapriSun', 'Trash Bags')",6.0
1075,"('CapriSun', 'Dish Soap')",13.0
1076,"('CapriSun', 'Detergent')",13.5
1077,"('CapriSun', 'Broom')",13.0
1078,"('CapriSun', 'Dog Treats')",10.0
1079,"('CapriSun', 'Air Freshner')",9.0
1080,"('CapriSun', 'Oreos')",9.0
1081,"('CapriSun', 'Popcorn')",12.0
1082,"('CapriSun', 'Gatorade (12)')",14.0
1083,"('CapriSun', 'Redbull (4)')",14.5
1084,"('CapriSun', 'Ritz')",14.0
1085,"('CapriSun', 'Coca Cola (12)')",15.0
1086,"('CapriSun', 'LaCroix (12)')",16.0
1087,"('CapriSun', 'Pepsi (12)')",15.5
1088,"('CapriSun', 'Seltzer (6)')",10.0
1089,"('CapriSun', 'Bottled Water (24)')",8.5
1090,"('CapriSun', 'Milk Gallon')",16.0
1091,"('CapriSun', 'Butter Sticks')",15.0
1092,"('CapriSun', 'Cookie Dough')",14.5
1093,"('CapriSun', 'Chobani (4)')",13.0
1094,"('CapriSun', 'Eggs (12)')",10.0
1095,"('CapriSun', 'Waffles')",12.0
1096,"('CapriSun', 'Taquitos')",16.0
1097,"('CapriSun', ""Breyer's Ice Cream"")",17.0
1098,"('CapriSun', 'Lasagna')",15.0
1099,"('CapriSun', 'Bagel Bites')",14.0
1100,"('CapriSun', 'Pizza (12"")')",11.0
1101,"('CapriSun', 'End Node')",11.5
1102,"('Tortillas', 'Start Node')",7.5
1103,"('Tortillas', 'Coffee Beans')",9.0
1104,"('Tortillas', 'K-Cups')",11.0
1105,"('Tortillas', 'Capt. Crunch')",14.0
1106,"('Tortillas', 'Chewy Bars')",11.5
1107,"('Tortillas', 'Granola')",10.5
1108,"('Tortillas', ""Hershey's"")",11.0
1109,"('Tortillas', 'Flour')",13.0
1110,"('Tortillas', 'Syrup')",12.0
1111,"('Tortillas', 'Brownie Mix')",9.0
1112,"('Tortillas', 'Seasoning')",7.5
1113,"('Tortillas', 'Soup')",8.0
1114,"('Tortillas', 'Mac & Cheese')",10.0
1115,"('Tortillas', 'Ketchup')",11.0
1116,"('Tortillas', 'Pickles')",10.5
1117,"('Tortillas', 'Italian Dressing')",10.0
1118,"('Tortillas', 'Soy Sauce')",5.0
1119,"('Tortillas', 'Penne')",4.5
1120,"('Tortillas', 'CapriSun')",4.0
1121,"('Tortillas', 'Tortillas')",0.0
1122,"('Tortillas', 'Tomato Sauce')",3.0
1123,"('Tortillas', 'Ibuprofen')",7.5
1124,"('Tortillas', 'Diapers')",9.0
1125,"('Tortillas', 'Tootpaste')",9.0
1126,"('Tortillas', 'Tampons')",10.0
1127,"('Tortillas', 'Shampoo')",8.5
1128,"('Tortillas', 'Toilet Paper')",8.0
1129,"('Tortillas', 'Paper Towels')",9.0
1130,"('Tortillas', 'Napkins')",11.0
1131,"('Tortillas', 'Solo Cups')",13.0
1132,"('Tortillas', 'Trash Bags')",10.0
1133,"('Tortillas', 'Dish Soap')",9.0
1134,"('Tortillas', 'Detergent')",9.5
1135,"('Tortillas', 'Broom')",11.0
1136,"('Tortillas', 'Dog Treats')",14.0
1137,"('Tortillas', 'Air Freshner')",13.0
1138,"('Tortillas', 'Oreos')",13.0
1139,"('Tortillas', 'Popcorn')",14.0
1140,"('Tortillas', 'Gatorade (12)')",12.0
1141,"('Tortillas', 'Redbull (4)')",11.5
1142,"('Tortillas', 'Ritz')",10.0
1143,"('Tortillas', 'Coca Cola (12)')",11.0
1144,"('Tortillas', 'LaCroix (12)')",12.0
1145,"('Tortillas', 'Pepsi (12)')",11.5
